
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006210                       # Number of seconds simulated (Second)
simTicks                                   6209568500                       # Number of ticks simulated (Tick)
finalTick                                  6209568500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     23.75                       # Real time elapsed on the host (Second)
hostTickRate                                261439433                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     748476                       # Number of bytes of host memory used (Byte)
simInsts                                      8560495                       # Number of instructions simulated (Count)
simOps                                       15647514                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   360419                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     658800                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         12419138                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.450750                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.689299                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        20351338                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   197152                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       19436222                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      3                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4900970                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           7302726                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 253                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            12261189                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.585182                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.918608                       # Number of insts issued each cycle (Count)
system.cpu.branchPred.BTB.hit_map_189                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_190                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_191                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_192                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_193                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_194                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_195                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_196                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_197                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_198                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_199                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_200                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_201                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_202                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_203                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_204                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_205                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_206                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_207                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_208                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_209                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_210                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_211                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_212                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_213                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_214                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_215                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_216                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_217                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_218                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_219                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_220                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_221                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_222                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_223                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_224                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_225                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_226                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_227                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_228                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_229                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_230                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_231                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_232                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_233                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_234                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_235                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_236                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_237                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_238                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_239                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_240                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_241                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_242                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_243                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_244                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_245                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_246                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_247                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_248                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_249                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_250                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_251                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_252                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_253                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_254                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_255                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_256                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_257                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_258                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_259                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_260                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_261                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_262                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_263                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_264                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_265                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_266                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_267                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_268                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_269                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_270                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_271                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_272                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_273                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_274                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_275                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_276                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_277                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_278                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_279                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_280                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_281                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_282                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_283                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_284                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_285                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_286                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_287                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_288                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_289                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_290                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_291                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_292                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_293                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_294                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_295                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_296                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_297                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_298                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_299                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_300                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_301                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_302                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_303                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_304                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_305                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_306                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_307                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_308                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_309                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_310                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_311                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_312                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_313                0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
